'name';'lon';'lat';'url'
'Paket Shop GLS Stichweh Reinigung Wäscherei';9.81192;52.38905;'https://www.paket.net/gls/paketshop/langenhagen-hannover/gross-buchholz/stichweh-reinigung-waescherei/'
'GLS Paket Filiale Blumen von Schoeneich';9.79923;52.41237;'https://www.paket.net/gls/paketshop/langenhagen-hannover/bothfeld/blumen-von-schoeneich/'
'GLS Paket Shop mobilcom debitel Shop Langenhagen';9.73968;52.43929;'https://www.paket.net/gls/paketshop/langenhagen-hannover/godshorn/mobilcom-debitel-shop-langenhagen/'
'GLS Paketshop GU NORD Handel und Dienstleistung GmbH';9.74053;52.43926;'https://www.paket.net/gls/paketshop/langenhagen-hannover/godshorn/gu-nord-handel-und-dienstleistung-gmbh/'
'Paket Shop GLS Geschäft IBG Spedition & Logistik GmbH';9.67641;52.4316;'https://www.paket.net/gls/paketshop/seelze/schulenburg-kreis-hannover/ibg-spedition-und-logistik-gmbh/'
'Paketshop von GLS etcetera';9.72577;52.32612;'https://www.paket.net/gls/paketshop/ronnenberg/devese/etcetera/'
'Paket Shop GLS Filiale Wäscherei Waschbär';9.83371;52.38633;'https://www.paket.net/gls/paketshop/lehrte-bei-hannover/gross-buchholz/waescherei-waschbaer/'
'GLS Paket Shop Hans Strickling Werkskundendienst';9.62059;52.39299;'https://www.paket.net/gls/paketshop/seelze/harenberg/hans-strickling-werkskundendienst/'
'Paket Shop GLS KELLNER - Bau- + Industriestoffe';9.78576;52.45009;'https://www.paket.net/gls/paketshop/langenhagen-hannover/isernhagen-sued/kellner--bau-+-industriestoffe/'
'Paketshop GLS Waldmann Schleiftechnik GmbH';9.61824;52.41984;'https://www.paket.net/gls/paketshop/seelze/havelse/waldmann-schleiftechnik-gmbh/'
'GLS Paket Laden Sonnenstudio Sunshine';9.8535;52.39021;'https://www.paket.net/gls/paketshop/lehrte-bei-hannover/gross-buchholz/sonnenstudio-sunshine/'
'Paketshop von GLS R & J Fernsehteam-Service GmbH';9.65681;52.31821;'https://www.paket.net/gls/paketshop/seelze/ronnenberg/r-und-j-fernsehteam-service-gmbh/'
'GLS Paketshop Rilling & Partner';9.59491;52.39548;'https://www.paket.net/gls/paketshop/seelze/seelze/rilling-und-partner/'
'Paketshop von GLS Stick Werk';9.86055;52.38415;'https://www.paket.net/gls/paketshop/lehrte-bei-hannover/anderten-kreis-hannover/stick-werk/'
'Paketshop von GLS Hansamobil GmbH';9.86225;52.36976;'https://www.paket.net/gls/paketshop/sehnde/anderten-kreis-hannover/hansamobil-gmbh/'
'Paket Shop von GLS SCHIFF AHOI';9.61021;52.43622;'https://www.paket.net/gls/paketshop/seelze/berenbostel/schiff-ahoi/'
'Paket Shop GLS mobilcom debitel Shop Garbsen';9.59637;52.42594;'https://www.paket.net/gls/paketshop/seelze/havelse/mobilcom-debitel-shop-garbsen/'
'GLS Paketshop Günter Wilhelm Fahrzeugtechnik';9.47091;52.30541;'https://www.paket.net/gls/paketshop/barsinghausen/barsinghausen/guenter-wilhelm-fahrzeugtechnik/'
'Paketshop von GLS Homeier & Makus GmbH';9.57525;52.28165;'https://www.paket.net/gls/paketshop/springe-deister/wennigsen/homeier-und-makus-gmbh/'
'Paketshop GLS Drogerie Hoppe';9.3678;52.27407;'https://www.paket.net/gls/paketshop/barsinghausen/lauenau/drogerie-hoppe/'
'GLS Paket Filiale Der kleine Futterladen';9.60735;52.31377;'https://www.paket.net/gls/paketshop/seelze/gehrden/der-kleine-futterladen/'
'Paket Shop von GLS Dampferino Burgdorf';10.00647;52.44806;'https://www.paket.net/gls/paketshop/lehrte-bei-hannover/burgdorf/dampferino-burgdorf/'
'GLS Paket Filiale Autoteile Dörner';9.99687;52.45331;'https://www.paket.net/gls/paketshop/lehrte-bei-hannover/burgdorf/autoteile-doerner/'
'Paket Shop GLS Geschäft CAMP3';10.03648;52.45052;'https://www.paket.net/gls/paketshop/lehrte-bei-hannover/huelptingsen/camp3/'
'Paketshop von GLS SP: Homann';10.09493;52.48662;'https://www.paket.net/gls/paketshop/burgdorf-kreis-hannover/haenigsen/sp-homann/'
'Paketshop GLS Kiosk & Backshop Tokul';9.97327;52.3762;'https://www.paket.net/gls/paketshop/sehnde/lehrte/kiosk-und-backshop-tokul/'
'GLS Paketshop Haus Kirchhorst';9.87957;52.44179;'https://www.paket.net/gls/paketshop/lehrte-bei-hannover/kirchhorst/haus-kirchhorst/'
'GLS Paket Shop Kabel Deutschland Shop Lehrte';9.97282;52.37241;'https://www.paket.net/gls/paketshop/sehnde/lehrte/kabel-deutschland-shop-lehrte/'
'Paket Shop GLS Laden Eiscafe Monica';9.91505;52.51263;'https://www.paket.net/gls/paketshop/isernhagen/wettmar/eiscafe-monica/'
'GLS Paket Laden QHM Repair Service Garbsen';9.60712;52.44641;'https://www.paket.net/gls/paketshop/seelze/berenbostel/qhm-repair-service-garbsen/'
'GLS Paket Shop TeleWedel';9.85064;52.49193;'https://www.paket.net/gls/paketshop/wedemark/grossburgwedel/telewedel/'
'Paketshop GLS iN Fashion';9.85853;52.49292;'https://www.paket.net/gls/paketshop/wedemark/grossburgwedel/in-fashion/'
'GLS Paket Geschäft Autoport Finke GmbH';9.82972;52.29633;'https://www.paket.net/gls/paketshop/sehnde/rethen-leine/autoport-finke-gmbh/'
'GLS Paket Shop Kiosk Singh';9.82029;52.28901;'https://www.paket.net/gls/paketshop/laatzen-bei-hannover/rethen-leine/kiosk-singh/'
'Paketshop GLS GLS Depot 30';9.81833;52.28502;'https://www.paket.net/gls/paketshop/laatzen-bei-hannover/rethen-leine/gls-depot-30/'
