Area Type,Vehicles,Network Length (km),Total LMD Distance (km),LMD CO₂ Emissions (t),Network Share (%),LMD Distance Share (%),LMD Emission Share (%),"LMD Distance (km)
per Network km"
Metropolitan Center,36.0,54.77440003614581,1693.2980397988142,0.3059124636409713,0.557590407438562,1.1008503522860174,1.0079407248603176,30.914040841732653
High-Density Residential Use,139.0,264.0820790559789,5666.703933523339,0.9885861594890145,2.6882929609612396,3.6840490421053738,3.2572594078797796,21.458116180318836
Dense Mixed Use,148.0,478.09832951646376,11609.586087722702,2.1451190506237006,4.8669276555263385,7.547647628578641,7.067880873709355,24.28284177329031
Residential Use,439.0,1799.6485262291585,30156.87485281736,5.9885158167639005,18.31999536871482,19.60564857767963,19.731360080413747,16.757091406067882
Industrial Use,102.0,673.7059316905949,14815.734938014915,2.9216850199901154,6.858166674527533,9.632035614845337,9.626562062272104,21.99139749420993
Urbanized Periphery,466.0,2627.4801028943225,46935.85868529526,9.382579410784425,26.74712457174818,30.514035541370493,30.91434647613666,17.86344971122433
Rural with Industrial Influence,249.0,2239.1843625740134,25866.186135812262,5.229245135524382,22.79436598545635,16.81617733596845,17.22966455710899,11.551610741903476
Rural without Industrial Influence,136.0,1686.4377373229622,17073.03469650744,3.388600374746911,17.167536375626984,11.099555907166044,11.164985817619042,10.123726668740844
Total,1715.0,9823.411469319639,153817.2773694921,30.35024343156342,100.0,100.0,100.0,
