area_type_agg,service_num_sum,service_num_mean,Tour Length (km)_sum,Tour Length (km)_mean,deliveries_sum,deliveries_mean,Vehicle Utilization (%)_mean,deliveries_per_stop_mean,Tour Duration (hrs)_sum,Tour Duration (hrs)_mean,Driving Time (hrs)_sum,Driving Time (hrs)_mean,Average Speed (km/h)_mean
Rural,22983,58.48091603053435,46105.308330165986,117.31630618362847,41722.0,106.16284987277353,0.5983908115338583,1.9405717743959785,2953.319722222222,7.514808453491659,1513.515,3.8511832061068705,30.549205865161017
Suburban,54928,53.79823702252693,91038.0852960964,89.16560753780254,132052.0,129.33594515181196,0.6885726489439814,2.9628400921030065,7761.429166666667,7.601791544237676,3280.532777777778,3.2130585482642293,27.733474473396623
Urban,14995,46.13846153846154,18577.194015122383,57.16059696960733,50038.0,153.96307692307693,0.7694310327353806,4.4681556705841405,2478.9366666666665,7.6274974358974355,785.6641666666667,2.417428205128205,23.704328538675885
