vehicle_id,Start time,End time,Tour Duration,Service Duration,Travel Duration,Start time formatted,End time formatted,Tour Duration formatted,Service Duration formatted,Travel Duration formatted,veh_class,service_num,tour_km,first_service_dist,raumsplit,provider,veh_size,main_area_type,deliveries,missed deliveries,b2b_ration,b2c_ration,ration_check,vehicle_load_factor,vehicle_deliver_factor,vehicle_fix_cost,vehicle_km_cost,vehicle_time_cost,overtime_cost,vehicle_cost,deliveries_per_stop,Hannover
freight_hermes_31832_veh_cep_size_m_7_1,25454,55888,30434,9885,20549,1970-01-01 07:04:14,1970-01-01 15:31:28,1970-01-01 08:27:14,1970-01-01 02:44:45,1970-01-01 05:42:29,van,65,172.38664149366397,40.968387849092565,"defaultdict(<class 'int'>, {8: 4, 7: 36, 6: 25})",hermes,m,7,80.0,0.0,0.0,1.0,1.0,0.48484848484848486,1.0,171.78,64.127830635643,193.3404388888889,21.81543888888889,257.7232695245319,1.2307692307692308,False
freight_hermes_31832_veh_cep_size_m_7_2,25521,58481,32960,12327,20633,1970-01-01 07:05:21,1970-01-01 16:14:41,1970-01-01 09:09:20,1970-01-01 03:25:27,1970-01-01 05:43:53,van,65,170.50816399707657,39.700356550958006,"defaultdict(<class 'int'>, {7: 46, 6: 19})",hermes,m,7,99.0,0.0,0.0,1.0,1.0,0.6,1.0,171.78,63.42903700691248,209.38755555555556,37.86255555555556,273.071592562468,1.523076923076923,False
freight_gls_31515_veh_cep_size_m_7_3,25551,58577,33026,12317,20709,1970-01-01 07:05:51,1970-01-01 16:16:17,1970-01-01 09:10:26,1970-01-01 03:25:17,1970-01-01 05:45:09,van,83,168.8485580243461,36.01195501711154,"defaultdict(<class 'int'>, {7: 26, 6: 38, 8: 6, 5: 13})",gls,m,6,100.0,0.0,0.04,0.96,1.0,0.6060606060606061,1.0,171.78,62.81166358505674,209.8068388888889,38.28183888888889,272.8735024739456,1.2048192771084338,False
freight_gls_31535_veh_cep_size_l_7_3,25581,55965,30384,7950,22434,1970-01-01 07:06:21,1970-01-01 15:32:45,1970-01-01 08:26:24,1970-01-01 02:12:30,1970-01-01 06:13:54,van,55,187.89410451933634,44.50309967148945,"defaultdict(<class 'int'>, {7: 42, 8: 12, 6: 1})",gls,l,7,64.0,0.0,0.0,1.0,1.0,0.2782608695652174,1.0,189.15,72.52712434446383,193.02280000000002,21.4978,283.1749243444638,1.1636363636363636,False
freight_hermes_31311_veh_cep_size_m_7_2,25645,59551,33906,9373,24533,1970-01-01 07:07:25,1970-01-01 16:32:31,1970-01-01 09:25:06,1970-01-01 02:36:13,1970-01-01 06:48:53,van,58,217.6104827892581,40.44240153488134,"defaultdict(<class 'int'>, {8: 21, 7: 37})",hermes,m,7,75.0,0.0,0.0,1.0,1.0,0.45454545454545453,1.0,171.78,80.95109959760401,215.39728333333335,43.872283333333336,296.60338293093736,1.293103448275862,False
freight_gls_31515_veh_cep_size_m_7_4,25716,56487,30771,11086,19685,1970-01-01 07:08:36,1970-01-01 15:41:27,1970-01-01 08:32:51,1970-01-01 03:04:46,1970-01-01 05:28:05,van,60,143.97825494304908,35.92409642005216,"defaultdict(<class 'int'>, {7: 1, 6: 59})",gls,m,6,88.0,0.0,0.07954545454545454,0.9204545454545454,1.0,0.5333333333333333,1.0,171.78,53.559910838814254,195.48132500000003,23.956325000000003,249.29623583881425,1.4666666666666666,False
freight_gls_31535_veh_cep_size_l_7_5,25727,66926,41199,11974,29225,1970-01-01 07:08:47,1970-01-01 18:35:26,1970-01-01 11:26:39,1970-01-01 03:19:34,1970-01-01 08:07:05,van,73,235.02122442387827,44.107669125098646,"defaultdict(<class 'int'>, {7: 54, 6: 19})",gls,l,7,96.0,0.0,0.0,1.0,1.0,0.41739130434782606,1.0,189.15,90.71819262761701,261.72809166666667,90.20309166666668,370.0712842942837,1.3150684931506849,False
freight_hermes_31311_veh_cep_size_m_7_3,25793,55096,29303,9079,20224,1970-01-01 07:09:53,1970-01-01 15:18:16,1970-01-01 08:08:23,1970-01-01 02:31:19,1970-01-01 05:37:04,van,61,155.8223892286916,41.33974809763956,"defaultdict(<class 'int'>, {7: 47, 6: 14})",hermes,m,7,74.0,0.0,0.0,1.0,1.0,0.4484848484848485,1.0,171.78,57.965928793073275,186.15544722222225,14.630447222222223,244.3763760152955,1.2131147540983607,False
freight_dpd_31535_veh_cep_size_m_7_1,25841,58623,32782,8048,24734,1970-01-01 07:10:41,1970-01-01 16:17:03,1970-01-01 09:06:22,1970-01-01 02:14:08,1970-01-01 06:52:14,van,58,207.29302792562368,50.43034088196803,"defaultdict(<class 'int'>, {8: 25, 7: 33})",dpd,m,7,66.0,0.0,0.015151515151515152,0.9848484848484849,1.0,0.4,1.0,171.78,77.11300638833201,208.25676111111113,36.73176111111111,285.6247674994431,1.1379310344827587,False
freight_fedex_31832_veh_cep_size_m_7_1,25906,62359,36453,11129,25324,1970-01-01 07:11:46,1970-01-01 17:19:19,1970-01-01 10:07:33,1970-01-01 03:05:29,1970-01-01 07:02:04,van,74,212.78629999546433,42.585267128158115,"defaultdict(<class 'int'>, {8: 2, 7: 16, 6: 56})",fedex,m,6,91.0,0.0,0.9230769230769231,0.07692307692307693,1.0,0.5515151515151515,1.0,171.78,79.15650359831272,231.57780833333337,60.05280833333334,310.98931193164606,1.2297297297297298,False
freight_hermes_31832_veh_cep_size_m_7_3,25979,58590,32611,14235,18376,1970-01-01 07:12:59,1970-01-01 16:16:30,1970-01-01 09:03:31,1970-01-01 03:57:15,1970-01-01 05:06:16,van,71,159.85957314361144,36.897955669944636,"defaultdict(<class 'int'>, {8: 6, 7: 4, 6: 61})",hermes,m,6,114.0,0.0,0.02631578947368421,0.9736842105263158,1.0,0.6909090909090909,1.0,171.78,59.46776120942346,207.17043611111114,35.64543611111112,266.89319732053457,1.6056338028169015,False
freight_gls_30853_veh_cep_size_m_7_2,26022,55579,29557,15071,14486,1970-01-01 07:13:42,1970-01-01 15:26:19,1970-01-01 08:12:37,1970-01-01 04:11:11,1970-01-01 04:01:26,van,78,114.27556194882438,21.265366099341303,"defaultdict(<class 'int'>, {6: 78})",gls,m,6,122.0,0.0,0.12295081967213115,0.8770491803278688,1.0,0.7393939393939394,1.0,171.78,42.51050904496267,187.7690527777778,16.244052777777778,230.53456182274044,1.564102564102564,False
freight_dpd_30451_veh_cep_size_m_7_1,26069,54050,27981,14568,13413,1970-01-01 07:14:29,1970-01-01 15:00:50,1970-01-01 07:46:21,1970-01-01 04:02:48,1970-01-01 03:43:33,van,63,81.09161264343228,20.508039186475468,"defaultdict(<class 'int'>, {2: 62, 3: 1})",dpd,m,2,118.0,0.0,0.2542372881355932,0.7457627118644068,1.0,0.7151515151515152,1.0,171.78,30.16607990335681,177.75707500000001,6.232075000000001,208.1781549033568,1.873015873015873,True
