'name';'lon';'lat';'url'
'UPS Paket Shop Lieblingsdeko GmbH';9.87858;52.46938;'https://www.paket.net/ups/paketshop/langenhagen-hannover/oldhorst/lieblingsdeko-gmbh/'
'UPS Paket Shop Myway Moden';9.85992;52.49326;'https://www.paket.net/ups/paketshop/wedemark/grossburgwedel/myway-moden/'
'UPS Paketshop Hokospokos';9.73763;52.54775;'https://www.paket.net/ups/paketshop/wedemark/mellendorf-han/hokospokos/'
'Paketshop UPS Aral Tankstelle Reineking';9.825376;52.294453;'https://www.paket.net/ups/paketshop/sehnde/rethen-leine/aral-tankstelle-reineking/'
'UPS Paket Laden Sp: Hansen';9.75969;52.26417;'https://www.paket.net/ups/paketshop/ronnenberg/pattensen/sp-hansen/'
'Paketshop UPS Mundo Lindo';9.855207;52.231947;'https://www.paket.net/ups/paketshop/laatzen-bei-hannover/sarstedt/mundo-lindo/'
'UPS Paketshop Aral Tankstelle';9.9595;52.31792;'https://www.paket.net/ups/paketshop/sehnde/sehnde/aral-tankstelle/'
'Paketshop UPS Shell Station Bozkurt Neustadt';9.450579;52.504668;'https://www.paket.net/ups/paketshop/wunstorf/mecklenhorst-am-ruebenberge/shell-station-bozkurt-neustadt/'
'UPS Paket Shop Internationaler Buchladen';9.353884;52.454097;'https://www.paket.net/ups/paketshop/wunstorf/steinhude/internationaler-buchladen/'
'UPS Paketshop Adil - Com Telekommunikation Zubehör';9.42459;52.42611;'https://www.paket.net/ups/paketshop/wunstorf/wunstorf/adil-com-telekommunikation-zubehoer/'
'UPS Paketshop Schleife Drum Bad Münder';9.461933;52.197904;'https://www.paket.net/ups/paketshop/springe-deister/bad-muender/schleife-drum-bad-muender/'
'Paketshop UPS Classic Tankstelle Hachmühlen';9.476539;52.163289;'https://www.paket.net/ups/paketshop/springe-deister/hachmuehlen/classic-tankstelle-hachmuehlen/'
